experiment,config_name,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,19,1121310999,66.384201,1.832218,22.347750,2855.195068,nan,10342400,1887.98,18,False,True,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,21,826833400,54.712601,0.866265,10.215746,1252.285889,nan,10342400,1797.49,17,True,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,20,617540312,67.781372,1.353448,19.911734,2712.598389,nan,10342400,1262.87,12,False,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,20,742220856,67.188568,1.177575,15.784000,2364.348877,nan,10342400,1200.71,11,False,True,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,22,1058055595,64.665726,1.143680,12.687161,1055.077271,nan,10342400,1570.86,15,True,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,21,1468863814,64.207558,1.193165,18.660803,2676.513184,nan,10342400,1466.22,14,False,False,ReLU
convergence_study,Generic10_activeG+sumL,['Generic'],Weather-96,144,96,192,10,1,True,11,1277087744,65.201851,1.179724,15.993927,2128.982666,nan,10342400,2330.69,22,True,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,21,999971752,65.554100,1.203939,15.231502,1866.638550,nan,10342400,1287.12,12,False,True,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,23,1251698830,64.110878,1.227029,14.443433,1748.573730,nan,10342400,1169.56,11,True,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,22,1062175308,65.599464,1.198342,14.450646,1939.884033,nan,10342400,1376.61,13,False,False,ReLU
convergence_study,Generic10_activeG+sumL,['Generic'],Weather-96,144,96,192,10,1,True,12,1212102007,63.917904,1.158333,14.946269,1737.412231,nan,10342400,1473.72,14,True,True,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,24,1350434102,63.926804,1.016527,11.982589,1403.948486,nan,10342400,1159.53,11,True,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,23,64324552,65.412575,1.019593,15.546674,2346.890137,nan,10342400,1156.50,11,False,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,25,352378511,64.155403,1.158487,13.242208,1399.370972,nan,10342400,1150.92,11,True,False,ReLU
convergence_study,Generic10_activeG+sumL,['Generic'],Weather-96,144,96,192,10,1,True,13,974364315,62.599171,1.062409,12.874326,1221.607666,nan,10342400,1737.34,16,True,True,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,24,71094584,66.288300,1.173380,17.110094,2348.121338,nan,10342400,1141.53,11,False,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,26,600354638,65.187454,1.196420,15.965855,2263.446289,nan,10342400,1136.08,11,True,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,25,2077660090,64.381828,1.093384,11.633991,1014.401123,nan,10342400,1260.94,12,False,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,27,1542125181,64.164391,1.231254,11.916920,1136.041016,nan,10342400,1250.21,12,True,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,22,1871032017,67.009537,1.449082,16.338106,2421.341309,nan,10342400,5136.94,48,False,True,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,26,457379445,64.958694,1.059062,14.150694,1578.520386,nan,10342400,1262.82,12,False,False,ReLU
convergence_study,Generic10_activeG+sumL,['Generic'],Weather-96,144,96,192,10,1,True,14,1206933152,60.849537,1.628257,16.003428,2165.170166,nan,10342400,3129.86,29,True,True,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,28,2028674770,64.062218,1.051913,12.260234,1269.984741,nan,10342400,1261.21,12,True,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,23,1740015140,66.400223,1.413569,17.679033,2593.402100,nan,10342400,1476.54,14,False,True,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,27,100616446,65.162506,1.067203,15.495908,1808.141724,nan,10342400,1494.48,14,False,False,ReLU
convergence_study,Generic10_activeG+sumL,['Generic'],Weather-96,144,96,192,10,1,True,15,230075840,65.203728,1.326903,13.077365,1478.629150,nan,10342400,1720.09,16,True,True,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,29,533413344,64.666344,1.127993,20.179085,3622.322021,nan,10342400,1972.81,19,True,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,24,1047536709,67.718224,1.654887,18.467081,2593.232178,nan,10342400,1617.07,15,False,True,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,28,344253359,64.289703,1.219035,23.595249,3642.280518,nan,10342400,1577.54,15,False,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,30,955319665,64.899040,1.275621,13.554946,1621.242554,nan,10342400,1176.26,11,True,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,29,1663138660,64.821075,1.041897,13.086664,1471.251831,nan,10342400,1258.80,12,False,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,25,1512219223,67.336174,2463.208099,83.354057,163755.406250,nan,10342400,2142.15,20,False,True,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,31,838993973,63.564034,1.103620,13.566314,1332.242065,nan,10342400,1272.55,12,True,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,30,813410207,65.107727,1.164382,16.862471,2500.049316,nan,10342400,1157.13,11,False,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,32,2110325480,63.040424,1.084737,12.212964,1431.417603,nan,10342400,1255.25,12,True,False,ReLU
convergence_study,Generic10_activeG+sumL,['Generic'],Weather-96,144,96,192,10,1,True,16,725162318,56.669678,1.023882,12.445525,1206.610474,nan,10342400,4031.62,38,True,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,26,558595387,66.979805,1.297582,18.976171,2852.213379,nan,10342400,1924.00,18,False,True,ReLU
