experiment,config_name,stack_types,period,frequency,forecast_length,backcast_length,forecast_multiplier,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Quarterly,4,8,48,6,2,3,True,2,44,10.301394,1.193698,,,0.903073,13011205,172.06,17,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Quarterly,4,8,56,7,2,3,True,0,42,10.423810,1.208160,,,0.913906,13046021,139.60,16,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Quarterly,4,8,56,7,2,3,True,1,43,10.384794,1.201145,,,0.909576,13046021,111.91,13,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Quarterly,4,8,56,7,2,3,True,2,44,10.305669,1.198274,,,0.904936,13046021,123.62,15,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Quarterly,4,8,16,2,30,1,True,0,42,9.856677,1.125650,,,0.858064,35522821,523.07,17,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Quarterly,4,8,16,2,30,1,True,1,43,9.828140,1.129487,,,0.858168,35522821,438.12,14,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Quarterly,4,8,16,2,30,1,True,2,44,9.846869,1.127899,,,0.858439,35522821,461.87,15,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Quarterly,4,8,24,3,30,1,True,0,42,9.913869,1.146524,,,0.868273,35787013,357.79,13,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Quarterly,4,8,24,3,30,1,True,1,43,9.953657,1.141397,,,0.868210,35787013,468.60,17,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Quarterly,4,8,24,3,30,1,True,2,44,9.909977,1.130461,,,0.862239,35787013,333.02,12,False,False,ReLU,
