experiment,config_name,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason
ablation,Generic_baseline,['Generic'],Monthly,12,18,90,30,1,True,3,45,14.023500,0.979386,,,0.946687,26695680,1371.09,14,False,False,ReLU,
ablation,Generic_baseline,['Generic'],Monthly,12,18,90,30,1,True,4,46,14.393656,0.987792,,,0.963469,26695680,1484.53,15,False,False,ReLU,
ablation,Generic_activeG,['Generic'],Monthly,12,18,90,30,1,True,0,42,13.869290,0.983395,,,0.943228,26695680,1545.00,15,True,False,ReLU,
ablation,Generic_activeG,['Generic'],Monthly,12,18,90,30,1,True,1,43,13.182015,0.970602,,,0.913391,26695680,1237.88,12,True,False,ReLU,
ablation,Generic_activeG,['Generic'],Monthly,12,18,90,30,1,True,2,44,13.118160,0.974293,,,0.912915,26695680,1756.60,17,True,False,ReLU,
ablation,Generic_activeG,['Generic'],Monthly,12,18,90,30,1,True,3,45,13.606948,0.976629,,,0.930953,26695680,1447.06,14,True,False,ReLU,
ablation,Generic_activeG,['Generic'],Monthly,12,18,90,30,1,True,4,46,13.521422,0.973690,,,0.926607,26695680,1332.53,13,True,False,ReLU,
ablation,Generic_sumLosses,['Generic'],Monthly,12,18,90,30,1,True,0,42,13.576716,0.958051,,,0.921167,26695680,1101.05,11,False,True,ReLU,
ablation,Generic_sumLosses,['Generic'],Monthly,12,18,90,30,1,True,1,43,13.607311,0.981173,,,0.933103,26695680,2321.54,23,False,True,ReLU,
ablation,Generic_sumLosses,['Generic'],Monthly,12,18,90,30,1,True,2,44,13.299610,0.965826,,,0.915220,26695680,1422.18,14,False,True,ReLU,
ablation,Generic_sumLosses,['Generic'],Monthly,12,18,90,30,1,True,3,45,13.453997,0.961599,,,0.918583,26695680,1398.63,14,False,True,ReLU,
ablation,Generic_sumLosses,['Generic'],Monthly,12,18,90,30,1,True,4,46,200.000000,199344393855.990753,,,93765001216.000000,26695680,1115.10,11,False,True,ReLU,
ablation,Generic_activeG+sumL,['Generic'],Monthly,12,18,90,30,1,True,0,42,14.064625,0.987655,,,0.952001,26695680,1566.14,15,True,True,ReLU,
ablation,Generic_activeG+sumL,['Generic'],Monthly,12,18,90,30,1,True,1,43,13.509067,0.974180,,,0.926409,26695680,1258.03,12,True,True,ReLU,
ablation,Generic_activeG+sumL,['Generic'],Monthly,12,18,90,30,1,True,2,44,13.472231,0.964859,,,0.920748,26695680,1360.16,13,True,True,ReLU,
ablation,Generic_activeG+sumL,['Generic'],Monthly,12,18,90,30,1,True,3,45,13.082536,0.948378,,,0.899490,26695680,2091.96,20,True,True,ReLU,
ablation,Generic_activeG+sumL,['Generic'],Monthly,12,18,90,30,1,True,4,46,13.327808,0.952675,,,0.910012,26695680,1673.66,16,True,True,ReLU,
ablation,Generic_GELU,['Generic'],Monthly,12,18,90,30,1,True,0,42,13.905205,0.971733,,,0.938987,26695680,1480.11,15,False,False,GELU,
ablation,Generic_GELU,['Generic'],Monthly,12,18,90,30,1,True,1,43,13.523865,0.968392,,,0.924199,26695680,1278.13,13,False,False,GELU,
ablation,Generic_GELU,['Generic'],Monthly,12,18,90,30,1,True,2,44,13.347075,0.958747,,,0.913536,26695680,1083.06,11,False,False,GELU,
ablation,Generic_GELU,['Generic'],Monthly,12,18,90,30,1,True,3,45,13.743808,0.964300,,,0.929897,26695680,1184.19,12,False,False,GELU,
ablation,Generic_GELU,['Generic'],Monthly,12,18,90,30,1,True,4,46,13.293022,0.971224,,,0.917531,26695680,1686.60,17,False,False,GELU,
ablation,Generic_ELU,['Generic'],Monthly,12,18,90,30,1,True,0,42,14.034616,0.990231,,,0.952173,26695680,1485.12,15,False,False,ELU,
ablation,Generic_ELU,['Generic'],Monthly,12,18,90,30,1,True,1,43,13.078260,563.686979,,,265.592926,26695680,1378.66,14,False,False,ELU,
ablation,Generic_ELU,['Generic'],Monthly,12,18,90,30,1,True,2,44,13.177985,0.951386,,,0.904213,26695680,1379.32,14,False,False,ELU,
ablation,Generic_ELU,['Generic'],Monthly,12,18,90,30,1,True,3,45,13.522956,0.967586,,,0.923789,26695680,1387.91,14,False,False,ELU,
ablation,Generic_ELU,['Generic'],Monthly,12,18,90,30,1,True,4,46,13.308165,0.964014,,,0.914665,26695680,1285.64,13,False,False,ELU,
ablation,Generic_LeakyReLU,['Generic'],Monthly,12,18,90,30,1,True,0,42,13.399630,0.952782,,,0.912551,26695680,1196.82,12,False,False,LeakyReLU,
ablation,Generic_LeakyReLU,['Generic'],Monthly,12,18,90,30,1,True,1,43,200.000000,862539689662643584.000000,,,405710101203124224.000000,26695680,1095.59,11,False,False,LeakyReLU,
ablation,Generic_LeakyReLU,['Generic'],Monthly,12,18,90,30,1,True,2,44,13.339223,0.952226,,,0.910196,26695680,1393.44,14,False,False,LeakyReLU,
ablation,Generic_LeakyReLU,['Generic'],Monthly,12,18,90,30,1,True,3,45,13.203626,0.973831,,,0.915659,26695680,1421.14,14,False,False,LeakyReLU,
ablation,Generic_LeakyReLU,['Generic'],Monthly,12,18,90,30,1,True,4,46,200.000000,6471164152081777495339649990656.000000,,,3043821339367517189783462871040.000000,26695680,629.95,6,False,False,LeakyReLU,
ablation,Generic_SELU,['Generic'],Monthly,12,18,90,30,1,True,0,42,13.823395,0.978324,,,0.939252,26695680,1582.73,15,False,False,SELU,
ablation,Generic_SELU,['Generic'],Monthly,12,18,90,30,1,True,1,43,12.825045,0.944302,,,0.888649,26695680,1399.94,13,False,False,SELU,
ablation,Generic_SELU,['Generic'],Monthly,12,18,90,30,1,True,2,44,13.802650,0.980201,,,0.939416,26695680,1149.28,14,False,False,SELU,
