experiment,config_name,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,18,1910164177,13.615929,3.151395,832.382935,3193740.750000,0.813095,8222720,118.55,18,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,19,365559298,13.803347,3.249759,850.775757,3278820.750000,0.831205,8222720,118.14,18,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,20,948926827,13.590566,3.150758,834.575073,3226525.250000,0.812239,8222720,106.80,16,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,21,916441576,13.679642,3.159630,842.035217,3338019.750000,0.816080,8222720,92.05,14,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,22,848695343,13.575583,3.145585,834.797119,3213536.500000,0.811129,8222720,124.08,19,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,23,351246954,13.744356,3.188570,842.860840,3270082.000000,0.821701,8222720,137.53,21,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,24,2063705747,13.572684,3.136008,840.605591,3361364.750000,0.809836,8222720,97.10,15,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,25,1822033025,13.682633,3.201881,839.117432,3199479.750000,0.821488,8222720,148.58,23,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,26,230052885,13.553558,3.117085,836.627625,3298424.000000,0.806870,8222720,93.66,14,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,27,1281162622,13.978333,3.355922,860.546204,3254327.250000,0.849916,8222720,104.81,16,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,28,2035094554,13.690695,3.211973,842.237793,3204267.750000,0.823004,8222720,153.80,23,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,29,199535537,13.570688,3.148468,837.332275,3268520.500000,0.811342,8222720,129.62,20,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,30,1844470261,13.590817,3.161308,834.016907,3184644.500000,0.813574,8222720,118.86,18,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,31,1029502892,13.836880,3.243309,852.018860,3244947.250000,0.831419,8222720,149.15,23,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,32,361658024,13.498486,3.079594,828.735474,3291031.750000,0.800468,8222720,93.56,14,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,33,1259198423,13.473288,3.095739,825.691223,3207179.750000,0.801728,8222720,126.42,19,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,34,2056995118,13.667700,3.165121,837.911682,3232659.250000,0.816406,8222720,130.40,20,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,35,2048917151,13.595004,3.147191,838.842468,3274654.750000,0.811926,8222720,117.90,18,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,36,1641710250,13.530249,3.136811,831.553711,3222411.250000,0.808638,8222720,131.79,20,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,37,128860760,13.751143,3.211345,850.141357,3340389.000000,0.824775,8222720,104.61,16,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,38,1900502677,13.636057,3.159151,843.162476,3329791.000000,0.814686,8222720,97.66,15,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,39,150083000,13.542128,3.103775,832.569641,3277389.500000,0.804845,8222720,97.96,15,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,40,2127974148,13.703042,3.192648,852.643005,3396524.750000,0.820951,8222720,92.01,14,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,41,1799534047,13.835485,3.263563,858.024963,3343960.250000,0.833925,8222720,110.99,17,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,42,760322985,13.561845,3.151452,830.139038,3169828.750000,0.811447,8222720,138.94,21,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,43,1112310251,13.620250,3.122590,838.431885,3300896.250000,0.809603,8222720,84.34,13,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,44,499768027,13.527349,3.121577,832.464111,3257415.750000,0.806633,8222720,108.63,17,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,45,1267969921,13.682136,3.181633,843.033813,3307148.750000,0.818925,8222720,90.72,14,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,46,1133067512,13.711402,3.193584,845.925354,3296585.500000,0.821324,8222720,118.07,18,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,47,2073094939,13.563843,3.118007,829.618530,3177109.500000,0.807300,8222720,136.24,21,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,48,1303569662,13.594715,3.138740,833.222961,3182287.000000,0.810854,8222720,170.20,26,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,49,519730967,13.740685,3.229857,843.901001,3225191.750000,0.826784,8222720,131.63,20,True,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,0,484782144,13.469763,3.106067,826.719482,3167493.000000,0.802920,8222720,141.87,22,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,1,179066586,13.516556,3.122093,832.665710,3226328.750000,0.806368,8222720,123.22,19,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,2,722092596,13.538986,3.126792,834.275391,3265811.750000,0.807645,8222720,117.62,18,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,3,879422475,13.573930,3.132141,836.307373,3238929.750000,0.809387,8222720,162.53,25,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,4,2053206896,13.391730,3.041377,818.209595,3163496.250000,0.792393,8222720,123.80,19,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,5,2061019709,13.724743,3.215286,852.495544,3355745.750000,0.824463,8222720,99.03,15,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,6,621426787,13.624101,3.132105,839.003967,3318164.500000,0.810918,8222720,124.08,19,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,7,1902143591,13.426067,3.053270,830.136230,3343515.250000,0.794940,8222720,133.47,20,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,8,635456039,13.749732,3.201778,853.564392,3393159.000000,0.823528,8222720,104.14,16,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,9,1294765946,13.817507,3.253904,857.804199,3324507.500000,0.832160,8222720,182.75,28,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,10,1654488611,13.583170,3.151367,833.419617,3218806.250000,0.812089,8222720,113.04,17,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,11,1350689816,13.730671,3.175518,846.505127,3299408.750000,0.819641,8222720,155.38,24,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,12,30926988,13.523872,3.121168,831.579102,3193527.500000,0.806475,8222720,131.04,20,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,13,1449641566,13.491075,3.091732,827.137573,3202042.500000,0.801768,8222720,118.45,18,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,14,1358385465,13.521643,3.100126,826.418274,3184399.500000,0.803759,8222720,123.80,19,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,15,1444818614,13.615788,3.161823,843.398499,3301404.500000,0.814402,8222720,115.95,18,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,16,11636783,13.524827,3.098954,835.569153,3331713.000000,0.803709,8222720,97.65,15,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,17,1361392994,13.453266,3.081763,823.835388,3188703.500000,0.799357,8222720,117.03,18,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,18,37723722,13.560849,3.132589,832.296570,3194182.250000,0.809043,8222720,159.08,24,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,19,612798646,13.624032,3.188567,843.067261,3251460.250000,0.818020,8222720,103.81,16,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,20,1394341263,13.356121,3.045125,816.882202,3140958.250000,0.791775,8222720,188.50,29,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,21,1030863147,13.858459,3.265070,854.377747,3311935.250000,0.834818,8222720,86.01,13,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,22,835821122,13.466038,3.108947,827.900513,3219898.250000,0.803168,8222720,93.67,14,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,23,1055400839,13.547357,3.133631,834.805908,3247987.250000,0.808762,8222720,111.63,17,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,24,1198389323,13.494985,3.113581,832.955688,3221107.250000,0.804637,8222720,130.93,20,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,25,1315402313,13.578587,3.147456,837.827820,3272771.500000,0.811457,8222720,97.79,15,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,26,1489364261,13.349514,3.046109,820.862732,3223831.000000,0.791697,8222720,91.65,14,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,27,1907170010,13.589193,3.139601,839.883789,3300530.250000,0.810793,8222720,98.54,15,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,28,815599248,13.378427,3.044394,820.978088,3224737.750000,0.792365,8222720,99.64,15,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,29,1751182157,13.513465,3.083235,824.459229,3223178.750000,0.801384,8222720,118.77,18,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,30,1979444384,13.633372,3.131089,839.259583,3335280.500000,0.811074,8222720,85.11,13,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,31,1034535265,13.381516,3.055919,822.462402,3245491.250000,0.793910,8222720,97.81,15,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,32,461481825,13.476227,3.080011,825.568298,3185777.500000,0.799839,8222720,168.33,26,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,33,1427573501,13.490682,3.094559,831.861328,3288019.000000,0.802112,8222720,116.43,18,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,34,1411603099,13.547967,3.131189,838.092407,3286476.500000,0.808473,8222720,103.92,16,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,35,1288161595,13.614456,3.167313,842.883362,3328938.750000,0.815052,8222720,92.99,14,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,36,545674673,13.480420,3.097551,828.565674,3228104.000000,0.802174,8222720,139.45,21,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,37,734286969,13.660089,3.151202,839.673645,3284728.250000,0.814422,8222720,103.58,16,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,38,827097521,13.878414,3.235519,859.396912,3381605.000000,0.831710,8222720,78.95,12,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,39,1790190917,13.765238,3.207729,851.661255,3350912.750000,0.824751,8222720,90.98,14,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,40,1776785004,13.519054,3.114579,833.026001,3281378.500000,0.805499,8222720,90.93,14,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,41,1348880645,13.766599,3.212087,853.280579,3356551.750000,0.825341,8222720,97.92,15,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,42,1526604096,13.576065,3.127144,832.954651,3235785.750000,0.808824,8222720,98.77,15,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,43,609804487,13.415483,3.073925,830.993286,3310840.500000,0.797215,8222720,99.04,15,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,44,609098500,13.456125,3.063983,824.169189,3217381.250000,0.797207,8222720,103.16,16,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,45,1387781171,13.617481,3.149483,847.567871,3377758.750000,0.812902,8222720,91.44,14,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,46,543485678,13.528975,3.129791,833.602905,3230775.500000,0.807716,8222720,129.14,20,False,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Yearly,1,6,30,10,1,True,47,534350192,13.459149,3.081514,823.438477,3164438.500000,0.799506,8222720,131.61,20,False,True,ReLU
